tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
26604801641730,26604801714241,26604804560050,72511,2918320,2845809
26606643392752,26606643446733,26606643759328,53981,366576,312595
26607655357880,26607655411891,26607655733927,54011,376047,322036
26608971191734,26608971241175,26608971732484,49441,540750,491309
26611599699117,26611599747948,26611600218756,48831,519639,470808
26614128845849,26614128894930,26614129361948,49081,516099,467018
26616050608594,26616050660615,26616051084912,52021,476318,424297
26618274571742,26618274620453,26618275004129,48711,432387,383676
26619387686269,26619387738460,26619388204698,52191,518429,466238
26622218378209,26622218477621,26622218872248,99412,494039,394627
26623231675242,26623231912586,26623232242202,237344,566960,329616
26624546058894,26624546130255,26624546450561,71361,391667,320306
26626669935129,26626670026740,26626670368086,91611,432957,341346
26627682051915,26627682100345,26627682387950,48430,336035,287605
26629503135634,26629503175085,26629503461840,39451,326206,286755
26631626936857,26631627008638,26631627364594,71781,427737,355956
26633851795728,26633851854339,26633852225765,58611,430037,371426
26635672584029,26635672645460,26635673072397,61431,488368,426937
26638301887952,26638301947263,26638302393401,59311,505449,446138
26641133726549,26641133795050,26641134208897,68501,482348,413847
26643457492710,26643457551821,26643457831816,59111,339106,279995
26645681203818,26645681331901,26645681660047,128083,456229,328146
26647097070878,26647097127469,26647097398724,56591,327846,271255
26649319846990,26649319905061,26649320189966,58071,342976,284905
26651542724112,26651542790393,26651543066957,66281,342845,276564
26653562578524,26653562634694,26653563001541,56170,423017,366847
26655283119259,26655283183670,26655283522716,64411,403457,339046
26656596907726,26656596965297,26656597306323,57571,398597,341026
26658011650562,26658011707283,26658012081258,56721,430696,373975
26659123639439,26659123718690,26659123989593,79251,350154,270903
26660135454721,26660135524112,26660135843826,69391,389105,319714
26661651562047,26661651611668,26661651979772,49621,417725,368104
26663772133397,26663772190127,26663772457651,56730,324254,267524
26665894852177,26665894907138,26665895171032,54961,318855,263894
26668320673153,26668320735936,26668321056998,62783,383845,321062
26669331883503,26669331938865,26669332193955,55362,310452,255090
26671554086304,26671554144127,26671554532132,57823,445828,388005
26674381094759,26674381211262,26674381528911,116503,434152,317649
26677309206110,26677309276692,26677309615171,70582,409061,338479
26679833918770,26679833968432,26679834238979,49662,320209,270547
26681350370667,26681350422438,26681350732616,51771,361949,310178
26682361998795,26682362048996,26682362391702,50201,392907,342706
26684381423334,26684381471615,26684381755361,48281,332027,283746
26686604632158,26686604679379,26686605043796,47221,411638,364417
26688120347513,26688120398964,26688120698329,51451,350816,299365
26689837158608,26689837203979,26689837465394,45371,306786,261415
26691352140051,26691352249373,26691352525838,109322,385787,276465
26692463852827,26692463903588,26692464246134,50761,393307,342546
26694887004378,26694887053829,26694887445066,49451,440688,391237
26696805871588,26696805918559,26696806274256,46971,402668,355697
26699431168375,26699431215255,26699431587962,46880,419587,372707
26700643738500,26700643785771,26700644182008,47271,443508,396237
26701755199149,26701755251070,26701755566716,51921,367567,315646
26702765856495,26702765909536,26702766409435,53041,552940,499899
26705291365065,26705291414076,26705291897020,49011,531955,482944
26706303284336,26706303332357,26706303597932,48021,313596,265575
26707616467778,26707616515068,26707616745273,47290,277495,230205
26708929812047,26708929868848,26708930196994,56801,384947,328146
26711858119360,26711858172091,26711858524757,52731,405397,352666
26714282366414,26714282414015,26714282721911,47601,355497,307896
26716201086313,26716201134544,26716201493831,48231,407518,359287
26718220422158,26718220469189,26718220903807,47031,481649,434618
26719735234964,26719735285935,26719735714673,50971,479709,428738
26721452113750,26721452160531,26721452477226,46781,363476,316695
26724380450714,26724380497684,26724380758479,46970,307765,260795
26726501309482,26726501361183,26726501598697,51701,289215,237514
26727512458862,26727512506783,26727512741217,47921,282355,234434
26729836016408,26729836100350,26729838986632,83942,2970224,2886282
26731557000286,26731557048106,26731557376722,47820,376436,328616
26733781563359,26733781682671,26733781983856,119312,420497,301185
26734894118078,26734894206800,26734894465645,88722,347567,258845
26736208444115,26736208494896,26736208784271,50781,340156,289375
26739139550988,26739139599839,26739139837003,48851,286015,237164
26741463383398,26741463432209,26741463706644,48811,323246,274435
26743381855533,26743381904224,26743382269730,48691,414197,365506
26746008266641,26746008314882,26746008668079,48241,401438,353197
26747119517291,26747119568132,26747119859197,50841,341906,291065
26748937641240,26748937688310,26748937915435,47070,274195,227125
26750856282528,26750856328709,26750856567423,46181,284895,238714
26753682764186,26753682813237,26753683158704,49051,394518,345467
26754995958588,26754996026169,26754996361375,67581,402787,335206
26756713395158,26756713442118,26756713673633,46960,278475,231515
26759339086913,26759339133624,26759339368399,46711,281486,234775
26760753557029,26760753626110,26760753922976,69081,365947,296866
26762372615937,26762372696078,26762373102716,80141,486779,406638
26764293078293,26764293153514,26764293495411,75221,417118,341897
26766011117513,26766011194575,26766011433039,77062,315526,238464
26768131589662,26768131636513,26768131849527,46851,259865,213014
26770454140522,26770454281466,26770454514483,140944,373961,233017
26772476371742,26772476419873,26772476657431,48131,285689,237558
26775101744388,26775101791069,26775102058217,46681,313829,267148
26776515754094,26776515799855,26776516028042,45761,273948,228187
26778131571514,26778131617595,26778131829359,46081,257845,211764
26779545530198,26779545579289,26779545811273,49091,281075,231984
26782172345315,26782172452487,26782172674122,107172,328807,221635
26783789456944,26783789520376,26783789818421,63432,361477,298045
26785103194211,26785103239392,26785103549368,45181,355157,309976
26787527024771,26787527077512,26787527303157,52741,278386,225645
26790052080444,26790052185486,26790052445262,105042,364818,259776
26791869570848,26791869649860,26791869948817,79012,377969,298957
