tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
6979377855666,6979417373466,6979421891445,39517800,44035779,4517979
6980876042274,6980942066474,6980942406312,66024200,66364038,339838
6981968232290,6982054984699,6982055302957,86752409,87070667,318258
6983983391214,6984076518825,6984077078469,93127611,93687255,559644
6985756549425,6985797298884,6985797745055,40749459,41195630,446171
6987633708162,6987719252487,6987719670858,85544325,85962696,418371
6988831939189,6988932307056,6988932660405,100367867,100721216,353349
6990244102941,6990246233518,6990246522465,2130577,2419524,288947
6991936264659,6991964443962,6991964849062,28179303,28584403,405100
6994695414467,6994794654670,6994795016869,99240203,99602402,362199
6997629556782,6997724468762,6997724984684,94911980,95427902,515922
7000171711562,7000248977042,7000249307650,77265480,77596088,330608
7001749885961,7001764344420,7001764814851,14458459,14928890,470431
7003722074043,7003783329679,7003783682908,61255636,61608865,353229
7004818240555,7004893990767,7004894360986,75750212,76120431,370219
7007640421580,7007719909272,7007720376593,79487692,79955013,467321
7009805564012,7009839225808,7009839612767,33661796,34048755,386959
7010924724171,7010949787235,7010950203604,25063064,25479433,416369
7013614923159,7013674414110,7013674830139,59490951,59906980,416029
7015548085469,7015592221468,7015592653898,44135999,44568429,432430
7017616239132,7017711542355,7017711845642,95303223,95606510,303287
7020244395859,7020335095408,7020335406006,90699549,91010147,310598
7021981570799,7022050439944,7022050716171,68869145,69145372,276227
7022986743262,7023059896240,7023060344031,73152978,73600769,447791
7025037993438,7025081245736,7025081557173,43252298,43563735,311437
7027836153687,7027908329785,7027908748565,72176098,72594878,418780
7028866314440,7028918131502,7028918469680,51817062,52155240,338178
7031036496559,7031039804648,7031040170817,3308089,3674258,366169
7033573676653,7033663712726,7033664021133,90036073,90344480,308407
7035822832654,7035883349216,7035883693403,60516562,60860749,344187
7037920135242,7038007484224,7038007847492,87348982,87712250,363268
7039543318541,7039623776851,7039624275992,80458310,80957451,499141
7041401517646,7041442991926,7041443346564,41474280,41828918,354638
7042442718078,7042452400069,7042452660055,9681991,9941977,259986
7044274880607,7044369925026,7044370316355,95044419,95435748,391329
7045543044432,7045581450138,7045581730264,38405706,38685832,280126
7047189237723,7047196280847,7047196600264,7043124,7362541,319417
7048303395465,7048306942200,7048307358639,3546735,3963174,416439
7050411567009,7050426393343,7050426726810,14826334,15159801,333467
7052304749719,7052344493467,7052344836305,39743748,40086586,342838
7053333947650,7053356957589,7053357407070,23009939,23459420,449481
7055263109750,7055275854965,7055276148792,12745215,13039042,293827
7058119278052,7058205750849,7058206064267,86472797,86786215,313418
7060533439454,7060631201006,7060631485263,97761552,98045809,284257
7062250598812,7062347685441,7062348057931,97086629,97459119,372490
7064857882883,7064869978018,7064870277646,12095135,12394763,299628
7067704046780,7067795995010,7067796281767,91948230,92234987,286757
7068819206526,7068907475654,7068907841313,88269128,88634787,365659
7071036369262,7071128455405,7071128791273,92086143,92422011,335868
7072450519500,7072541247978,7072541645348,90728478,91125848,397370
7074946721337,7074962732542,7074963061430,16011205,16340093,328888
7076990957418,7077081831400,7077082173978,90873982,91216560,342578
7079735112919,7079806133113,7079806422420,71020194,71309501,289307
7082059267415,7082126095572,7082126455701,66828157,67188286,360129
7083699420496,7083740134686,7083740583007,40714190,41162511,448321
7085665660922,7085757775279,7085758068826,92114357,92407904,293547
7087785812994,7087876000710,7087876223355,90187716,90410361,222645
7089574957454,7089590737032,7089590963658,15779578,16006204,226626
7090748098990,7090801430783,7090801722190,53331793,53623200,291407
7093696293086,7093726452688,7093726703064,30159602,30409978,250376
7095757437695,7095844593043,7095844895720,87155348,87458025,302677
7096770598929,7096853664455,7096854035434,83065526,83436505,370979
7098772758978,7098871067107,7098871382845,98308129,98623867,315738
7100824923358,7100888206914,7100888528401,63283556,63605043,321487
7101994077421,7101998167099,7101998511547,4089678,4434126,344448
7104940223405,7105024432400,7105024667096,84208995,84443691,234696
7107072364350,7107142613521,7107142895108,70249171,70530758,281587
7109358519594,7109361646389,7109361921086,3126795,3401492,274697
7111119667290,7111177151240,7111177366495,57483950,57699205,215255
7112799804196,7112892035251,7112892329328,92231055,92525132,294077
7114560939127,7114607796109,7114608045285,46856982,47106158,249176
7116392082930,7116424960635,7116425213171,32877705,33130241,252536
7118890224337,7118947508304,7118947771771,57283967,57547434,263467
7120632376716,7120662719895,7120662981111,30343179,30604395,261216
7123247526926,7123285611205,7123285949823,38084279,38422897,338618
7125331693867,7125404040681,7125404311158,72346814,72617291,270477
7126754835416,7126816786274,7126817094231,61950858,62258815,307957
7129495982022,7129540495034,7129540761730,44513012,44779708,266696
7131640130566,7131658846773,7131659103029,18716207,18972463,256256
7134170281801,7134180778662,7134181000727,10496861,10718926,222065
7136074442829,7136097963229,7136098269646,23520400,23826817,306417
7138851599972,7138925398251,7138925671758,73798279,74071786,273507
7141539900872,7141549850754,7141550197452,9949882,10296580,346698
7143446035193,7143466968469,7143467231176,20933276,21195983,262707
7145054200278,7145083345502,7145083561268,29145224,29360990,215766
7146998339381,7147000838243,7147001130271,2498862,2790890,292028
7149326481848,7149421739553,7149421997689,95257705,95515841,258136
7152079633446,7152147356321,7152147623198,67722875,67989752,266877
7154682799891,7154772154115,7154772445432,89354224,89645541,291317
7156794949502,7156891061556,7156891302341,96112054,96352839,240785
7158326080494,7158404879120,7158405129686,78798626,79049192,250566
7160284264186,7160321515246,7160321806703,37251060,37542517,291457
7161942414253,7162036707735,7162037133967,94293482,94719714,426232
7163667573512,7163752699986,7163752946602,85126474,85373090,246616
7165756728710,7165771213712,7165771501219,14485002,14772509,287507
7168177892759,7168191784987,7168192016663,13892228,14123904,231676
7171071045957,7171116640367,7171116890723,45594410,45844766,250356
7172895202872,7172932225447,7172932467203,37022575,37264331,241756
7174748344430,7174848803721,7174849045207,100459291,100700777,241486
7176461487249,7176464996429,7176465238054,3509180,3750805,241625
