tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
7278064424305,7278139614901,7278144381744,75190596,79957439,4766843
7279336594497,7279349177746,7279349529123,12583249,12934626,351377
7280775764366,7280950591965,7280951016284,174827599,175251918,424319
7283103932230,7284002303976,7284002720586,898371746,898788356,416610
7284418105389,7285053557482,7285053979231,635452093,635873842,421749
7286866271625,7287155005845,7287155495857,288734220,289224232,490012
7289739437626,7290306552241,7290306955760,567114615,567518134,403519
7291760597395,7292407803988,7292408171246,647206593,647573851,367258
7294378754067,7294509116612,7294509536191,130362545,130782124,419579
7297037916741,7297660852343,7297661189800,622935602,623273059,337457
7298560076260,7298711865176,7298712208554,151788916,152132294,343378
7301134320461,7301863681471,7301864097211,729361010,729776750,415740
7303277467568,7303965014079,7303965393468,687546511,687925900,379389
7305420622340,7306066423478,7306066723595,645801138,646101255,300117
7307901787156,7308167653713,7308167976021,265866557,266188865,322308
7309954960539,7310268977418,7310269364307,314016879,314403768,386889
7311251134852,7311320216506,7311320614895,69081654,69480043,398389
7312364353090,7312371320180,7312371767840,6967090,7414750,447660
7313533515983,7314472684965,7314473095784,939168982,939579801,410819
7314851677177,7315523855566,7315524168904,672178389,672491727,313338
7317249867512,7317625082833,7317625353359,375215321,375485847,270526
7319494109773,7319726322439,7319726639597,232212666,232529824,317158
7321621273651,7321827494929,7321827778595,206221278,206504944,283666
7324422439729,7324978968470,7324979375119,556528741,556935390,406649
7327205681503,7328130544912,7328130843519,924863409,925162016,298607
7329665884077,7330231837046,7330232180894,565952969,566296817,343848
7331508081026,7332333157817,7332333542516,825076791,825461490,384699
7333683285373,7334434816124,7334435181093,751530751,751895720,364969
7336418465366,7336536287203,7336536565340,117821837,118099974,278137
7337983640948,7338637509202,7338637781468,653868254,654140520,272266
7340896866977,7341788876882,7341789140587,892009905,892273610,263705
7342855053476,7343890162937,7343890485304,1035109461,1035431828,322367
7345163233195,7345991348470,7345991645137,828115275,828411942,296667
7346892406283,7347042218424,7347042477580,149812141,150071297,259156
7349329619117,7350193518257,7350193837445,863899140,864218328,319188
7351304788566,7352294993430,7352295400360,990204864,990611794,406930
7353397955697,7354396240677,7354396645457,998284980,998689760,404780
7355500122945,7356497676993,7356498058752,997554048,997935807,381759
7357449286933,7357548714297,7357548973864,99427364,99686931,259567
7359598469323,7359649944488,7359650319847,51475165,51850524,375359
7362261698135,7362801443234,7362801715469,539745099,540017334,272235
7363986881175,7364902784942,7364903068738,915903767,916187563,283796
7365291035640,7365953916014,7365954344674,662880374,663309034,428660
7367739192072,7368055275967,7368055529042,316083895,316336970,253075
7370294353347,7371206619043,7371206908805,912265696,912555458,289762
7371941524137,7372257687596,7372258087538,316163459,316563401,399942
7374760685277,7375409303495,7375409654427,648618218,648969150,350932
7376487837573,7377510519280,7377510865222,1022681707,1023027649,345942
7379085976321,7379611709523,7379612080411,525733202,526104090,370888
7380312134547,7380662721747,7380663081025,350587200,350946478,359278
7382790285327,7383814217973,7383814609952,1023932646,1024324625,391979
7384018418716,7384865181810,7384865489747,846763094,847071031,307937
7385224582603,7385916170296,7385916411281,691587693,691828678,240985
7386257744033,7386967111581,7386967437189,709367548,709693156,325608
7387534901835,7388018050456,7388018450145,483148621,483548310,399689
7389689064060,7390119191594,7390119531572,430127534,430467512,339978
7390743245371,7391170159707,7391170418213,426914336,427172842,258506
7392473446182,7393271304499,7393271645157,797858317,798198975,340658
7394033685651,7394322370523,7394322596688,288684872,288911037,226165
7396514854162,7397473668779,7397473963845,958814617,959109683,295066
7397706003577,7398524671234,7398525017171,818667657,819013594,345937
7400339176374,7400625841425,7400626297305,286665051,287120931,455880
7402290332856,7402727171834,7402727495852,436838978,437162996,324018
7404924505135,7405878750846,7405879012232,954245711,954507097,261386
7406704666116,7406929781896,7406930106723,225115780,225440607,324827
7408482829562,7409030946963,7409031209179,548117401,548379617,262216
7410961001651,7411132110214,7411132334939,171108563,171333288,224725
7413831158256,7414283467061,7414283740757,452308805,452582501,273696
7415591315784,7416384668150,7416384951357,793352366,793635573,283207
7417611495785,7418485850315,7418486185603,874354530,874689818,335288
7420244752727,7420587132893,7420587443661,342380166,342690934,310768
7421916926964,7422688323645,7422688560290,771396681,771633326,236645
7422979085686,7423739117597,7423739330773,760031911,760245087,213176
7424299238368,7424789915817,7424790178354,490677449,490939986,262537
7426383393677,7426890969136,7426891292004,507575459,507898327,322868
7428082551235,7428992153050,7428992372116,909601815,909820881,219066
7430606707865,7431093138131,7431093381147,486430266,486673282,243016
7432767867183,7433194086645,7433194291691,426219462,426424508,205046
7434354027427,7435295126530,7435295333055,941099103,941305628,206525
7437008205214,7437396091430,7437396316715,387886216,388111501,225285
7438236361174,7438446962855,7438447191781,210601681,210830607,228926
7440225518333,7440548064623,7440548276628,322546290,322758295,212005
7442649661707,7443699233525,7443699528552,1049571818,1049866845,295027
7444222791138,7444750172229,7444750463826,527381091,527672688,291597
7445390944157,7445801039137,7445801248192,410094980,410304035,209055
7447384107384,7447902164647,7447902466374,518057263,518358990,301727
7450292262175,7451053503978,7451053746653,761241803,761484478,242675
7452845418188,7453154503781,7453154711286,309085593,309293098,207505
7453895565827,7454205377873,7454205592267,309812046,310026440,214394
7456403829877,7457356518567,7457356730132,952688690,952900255,211565
7458098983379,7458407322492,7458407526971,308339113,308543592,204479
7459770132697,7460508398542,7460508627231,738265845,738494534,228689
7461432275811,7461559169025,7461559495284,126893214,127219473,326259
7462642422588,7463660294776,7463660503035,1017872188,1018080447,208259
7465431587735,7465761224832,7465761427261,329637097,329839526,202429
7467132762950,7467862126658,7467862356456,729363708,729593506,229798
7468713930151,7468912954654,7468913152341,199024503,199222190,197687
7471418093934,7472064255988,7472064461925,646162054,646367991,205937
7472951264798,7473115071021,7473115296229,163806223,164031431,225208
7474320491296,7475215974677,7475216273944,895483381,895782648,299267
