tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
686301984268,686302048230,686305149887,63962,3165619,3101657
687723083960,687723134562,687723452061,50602,368101,317499
689138379739,689138426520,689138745859,46781,366120,319339
691662686503,691662786256,691663295471,99753,608968,509215
692773653749,692773707561,692774406092,53812,752343,698531
694591258697,694591308468,694591802833,49771,544136,494365
696509203955,696509280027,696509609847,76072,405892,329820
697720222539,697720297941,697720607820,75402,385281,309879
699435665170,699435718102,699436102983,52932,437813,384881
701858135850,701858193952,701858754839,58102,618989,560887
703978040622,703978096744,703978394113,56122,353491,297369
705088081455,705088137177,705088417255,55722,335800,280078
707812678412,707812733943,707813114403,55531,435991,380460
709528630739,709528688221,709529027909,57482,397170,339688
710841189555,710841255577,710841539264,66022,349709,283687
713666751747,713666860080,713667210309,108333,458562,350229
716594151348,716594191589,716594635571,40241,484223,443982
717603383726,717603433518,717603810368,49792,426642,376850
719117093487,719117155309,719117582131,61822,488644,426822
721540439093,721540497785,721540836474,58692,397381,338689
722954466286,722954531678,722954809535,65392,343249,277857
725880779777,725880832188,725881114846,52411,335069,282658
728202177600,728202233791,728202538130,56191,360530,304339
730523486302,730523540633,730523812031,54331,325729,271398
732641840297,732641891699,732642165837,51402,325540,274138
734458518139,734458587981,734458941771,69842,423632,353790
736879949358,736880018400,736880368170,69042,418812,349770
738191702810,738191755962,738192095090,53152,392280,339128
739806676447,739806735958,739807162929,59511,486482,426971
742734639910,742734716722,742734994049,76812,354139,277327
744047088792,744047142613,744047414100,53821,325308,271487
746973543105,746973597296,746973983677,54191,440572,386381
749294631496,749294690207,749294995106,58711,363610,304899
750404809355,750404861736,750405124564,52381,315209,262828
752927580407,752927641169,752927916787,60762,336380,275618
754743725645,754743849149,754744113007,123504,387362,263858
755853518525,755853576007,755853901496,57482,382971,325489
757669894425,757669938887,757670349319,44462,454894,410432
759587436779,759587473950,759587761469,37171,324690,287519
761604619528,761604662420,761604923537,42892,304009,261117
764530374691,764530420532,764530692300,45841,317609,271768
767456307558,767456345549,767456703059,37991,395501,357510
768868779237,768868819988,768869096276,40751,317039,276288
771088385798,771088429939,771088772499,44141,386701,342560
773004778083,773004824695,773005090422,46612,312339,265727
774316223377,774316269609,774316645259,46232,421882,375650
776030621924,776030710267,776030985874,88343,363950,275607
778854648562,778854694183,778855042643,45621,394081,348460
781678878308,781678920809,781679274419,42501,396111,353610
783192200971,783192248403,783192608303,47432,407332,359900
786017395956,786017445768,786017853790,49812,457834,408022
788443046960,788443096841,788443491593,49881,444633,394752
789655332752,789655379313,789655675782,46561,343030,296469
791574151644,791574218476,791575045210,66832,893566,826734
793896916261,793896962502,793897389174,46241,472913,426672
795715188650,795715234952,795715516490,46302,327840,281538
798137258692,798137304714,798137555021,46022,296329,250307
800457636073,800457677544,800457986103,41471,350030,308559
803080595312,803080653534,803080942442,58222,347130,288908
804897676991,804897721632,804898035991,44641,359000,314359
806310346725,806310390986,806310766476,44261,419751,375490
808933651052,808933695274,808934088895,44222,437843,393621
811456560279,811456605300,811456921569,45021,361290,316269
814280378036,814280423947,814280734626,45911,356590,310679
816703172473,816703219174,816703502572,46701,330099,283398
818519114272,818519158724,818519401161,44452,286889,242437
820233856610,820233905272,820234175510,48662,318900,270238
822654622108,822654666579,822655010219,44471,388111,343640
824776025048,824776107111,824776504952,82063,479904,397841
826898673855,826898771178,826899047414,97323,373559,276236
828109766188,828109842749,828110168336,76561,402148,325587
829724024054,829724065795,829724292310,41741,268256,226515
831135755262,831135801153,831136032018,45891,276756,230865
832950999197,832951039848,832951267253,40651,268056,227405
834463540014,834463608816,834463933725,68802,393711,324909
835472477952,835472553534,835472944525,75582,466573,390991
838095831871,838095871462,838096076358,39591,244487,204896
839306114646,839306159317,839306379073,44671,264427,219756
841828482445,841828528297,841828776203,45852,293758,247906
844253035479,844253090440,844253472811,54961,437332,382371
845769701794,845769749275,845770085195,47481,383401,335920
847386399290,847386533124,847386759840,133834,360550,226716
848798788812,848798869394,848799093950,80582,305138,224556
851524657465,851524701286,851525068316,43821,410851,367030
854452413109,854452475471,854452695167,62362,282058,219696
856369912435,856369956636,856370193153,44201,280718,236517
858892289230,858892334151,858892551557,44921,262327,217406
860405547381,860405592202,860405809478,44821,262097,217276
863028062374,863028294500,863028519976,232126,457602,225476
864137973193,864138022204,864138240960,49011,267767,218756
866962693609,866962797272,866963439250,103663,745641,641978
869182719887,869182760139,869182981665,40252,261778,221526
870594993193,870595048575,870595267091,55382,273898,218516
873116509143,873116549454,873116765860,40311,256717,216406
875033594788,875037786485,875038925042,4191697,5330254,1138557
877156974458,877157014159,877157283547,39701,309089,269388
879577616040,879577659701,879577998521,43661,382481,338820
881494374410,881494423471,881494645787,49061,271377,222316
884217841718,884217982442,884218399553,140724,557835,417111
885832060116,885832128928,885832446837,68812,386721,317909
