tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
-1,-1,4693116449047,0,4693116449048,4693116449048
-1,-1,4695451544397,0,4695451544398,4695451544398
-1,-1,4698270162645,0,4698270162646,4698270162646
-1,-1,4702896199867,0,4702896199868,4702896199868
-1,-1,4706616970201,0,4706616970202,4706616970202
-1,-1,4710434667463,0,4710434667464,4710434667464
-1,-1,4714252674991,0,4714252674992,4714252674992
-1,-1,4716462138299,0,4716462138300,4716462138300
-1,-1,4721279584880,0,4721279584881,4721279584881
-1,-1,4723892560608,0,4723892560609,4723892560609
-1,-1,4727709082947,0,4727709082948,4727709082948
-1,-1,4731825192707,0,4731825192708,4731825192708
-1,-1,4736742041370,0,4736742041371,4736742041371
-1,-1,4739353188768,0,4739353188769,4739353188769
-1,-1,4743267660087,0,4743267660088,4743267660088
-1,-1,4746479493219,0,4746479493220,4746479493220
-1,-1,4748587221704,0,4748587221705,4748587221705
-1,-1,4751998716017,0,4751998716018,4751998716018
-1,-1,4754507576054,0,4754507576055,4754507576055
-1,-1,4758821443451,0,4758821443452,4758821443452
-1,-1,4761933094732,0,4761933094733,4761933094733
-1,-1,4764443060218,0,4764443060219,4764443060219
-1,-1,4767152792308,0,4767152792309,4767152792309
-1,-1,4770967346707,0,4770967346708,4770967346708
-1,-1,4774078698443,0,4774078698444,4774078698444
-1,-1,4777692593261,0,4777692593262,4777692593262
-1,-1,4779901154714,0,4779901154715,4779901154715
-1,-1,4782309827006,0,4782309827007,4782309827007
-1,-1,4784518283127,0,4784518283128,4784518283128
-1,-1,4789236427848,0,4789236427849,4789236427849
-1,-1,4793552062948,0,4793552062949,4793552062949
-1,-1,4796764510638,0,4796764510639,4796764510639
-1,-1,4799474792681,0,4799474792682,4799474792682
-1,-1,4803690229789,0,4803690229790,4803690229790
-1,-1,4805999076656,0,4805999076657,4805999076657
-1,-1,4808910597976,0,4808910597977,4808910597977
-1,-1,4811620194160,0,4811620194161,4811620194161
-1,-1,4816236338744,0,4816236338745,4816236338745
-1,-1,4819047407751,0,4819047407752,4819047407752
-1,-1,4823261325605,0,4823261325606,4823261325606
-1,-1,4827676564516,0,4827676564517,4827676564517
-1,-1,4831088425421,0,4831088425422,4831088425422
-1,-1,4834700280456,0,4834700280457,4834700280457
-1,-1,4837711086729,0,4837711086730,4837711086730
-1,-1,4839919541086,0,4839919541087,4839919541087
-1,-1,4844734165642,0,4844734165643,4844734165643
-1,-1,4847543462668,0,4847543462669,4847543462669
-1,-1,4850253159978,0,4850253159979,4850253159979
-1,-1,4852461314620,0,4852461314621,4852461314621
-1,-1,4856473712686,0,4856473712687,4856473712687
-1,-1,4859382980138,0,4859382980139,4859382980139
-1,-1,4863998955319,0,4863998955320,4863998955320
-1,-1,4867509912982,0,4867509912983,4867509912983
-1,-1,4870619858338,0,4870619858339,4870619858339
-1,-1,4873528752572,0,4873528752573,4873528752573
-1,-1,4878042629753,0,4878042629754,4878042629754
-1,-1,4881153620709,0,4881153620710,4881153620710
-1,-1,4884866695746,0,4884866695747,4884866695747
-1,-1,4888980231577,0,4888980231578,4888980231578
-1,-1,4893594793570,0,4893594793571,4893594793571
-1,-1,4896103417475,0,4896103417476,4896103417476
-1,-1,4899313765209,0,4899313765210,4899313765210
-1,-1,4901622344270,0,4901622344271,4901622344271
-1,-1,4905435281851,0,4905435281852,4905435281852
-1,-1,4908545454516,0,4908545454517,4908545454517
-1,-1,4911456254515,0,4911456254516,4911456254516
-1,-1,4914768237221,0,4914768237222,4914768237222
-1,-1,4918280704912,0,4918280704913,4918280704913
-1,-1,4921291129324,0,4921291129325,4921291129325
-1,-1,4923598946706,0,4923598946707,4923598946707
-1,-1,4926007410792,0,4926007410793,4926007410793
-1,-1,4929518315636,0,4929518315637,4929518315637
-1,-1,4931726170735,0,4931726170736,4931726170736
-1,-1,4935338056595,0,4935338056596,4935338056596
-1,-1,4938548382216,0,4938548382217,4938548382217
-1,-1,4942361130013,0,4942361130014,4942361130014
-1,-1,4944569393773,0,4944569393774,4944569393774
-1,-1,4946676678983,0,4946676678984,4946676678984
-1,-1,4950188010234,0,4950188010235,4950188010235
-1,-1,4952696094176,0,4952696094177,4952696094177
-1,-1,4955104451174,0,4955104451175,4955104451175
-1,-1,4958414348326,0,4958414348327,4958414348327
-1,-1,4961825123420,0,4961825123421,4961825123421
-1,-1,4966739446831,0,4966739446832,4966739446832
-1,-1,4969848788057,0,4969848788058,4969848788058
-1,-1,4973158639763,0,4973158639764,4973158639764
-1,-1,4975365714486,0,4975365714487,4975365714487
-1,-1,4978575516297,0,4978575516298,4978575516298
-1,-1,4982285747226,0,4982285747227,4982285747227
-1,-1,4987098794050,0,4987098794051,4987098794051
-1,-1,4992011283106,0,4992011283107,4992011283107
-1,-1,4996423476674,0,4996423476675,4996423476675
-1,-1,5001337883261,0,5001337883262,5001337883262
-1,-1,5005149503500,0,5005149503501,5005149503501
-1,-1,5007857369022,0,5007857369023,5007857369023
-1,-1,5010063943562,0,5010063943563,5010063943563
-1,-1,5014776138067,0,5014776138068,5014776138068
-1,-1,5018586060093,0,5018586060094,5018586060094
-1,-1,5022597228580,0,5022597228581,5022597228581
-1,-1,5025806557383,0,5025806557384,5025806557384
