tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
3912177423516,3912177469468,3912181186998,45952,3763482,3717530
3913536338256,3913536386698,3913536486460,48442,148204,99762
3916738124678,3916738179139,3916738223330,54461,98652,44191
3920939771527,3920939819088,3920939856009,47561,84482,36921
3924091651084,3924091712776,3924091761597,61692,110513,48821
3928293314685,3928293360016,3928293400447,45331,85762,40431
3932494856977,3932494906718,3932494951069,49741,94092,44351
3936696811980,3936696860821,3936696899602,48841,87622,38781
3939848242922,3939848288443,3939848360235,45521,117313,71792
3942999767824,3942999817166,3942999858277,49342,90453,41111
3946151075096,3946151127527,3946151165828,52431,90732,38301
3950352774745,3950352824356,3950352864617,49611,89872,40261
3953504198676,3953504247028,3953504285909,48352,87233,38881
3956655669960,3956655715041,3956655752222,45081,82262,37181
3960857110503,3960857157254,3960857196035,46751,85532,38781
3964008371677,3964008418458,3964008519540,46781,147863,101082
3968209901839,3968209963971,3968210060754,62132,158915,96783
3972411851072,3972411898203,3972411965025,47131,113953,66822
3975563505904,3975563600187,3975563689789,94283,183885,89602
3978715693751,3978715756282,3978715793333,62531,99582,37051
3982918262096,3982918304417,3982918341218,42321,79122,36801
3987119876865,3987119920506,3987119957037,43641,80172,36531
3990271191863,3990271236794,3990271275005,44931,83142,38211
3994472687614,3994472814348,3994472911660,126734,224046,97312
3998674808688,3998674878980,3998674928841,70292,120153,49861
4001826177492,4001826238784,4001826281335,61292,103843,42551
4004977483176,4004977530547,4004977568338,47371,85162,37791
4009179260146,4009179300947,4009179336608,40801,76462,35661
4013380674680,4013380721801,4013380829643,47121,154963,107842
4016531918545,4016531961606,4016531999667,43061,81122,38061
4019683435861,4019683482902,4019683518393,47041,82532,35491
4022834694171,4022834741062,4022834790553,46891,96382,49491
4025986135033,4025986178084,4025986215445,43051,80412,37361
4030188170223,4030188209363,4030188246234,39140,76011,36871
4033339568379,4033339676351,4033339713852,107972,145473,37501
4037541305930,4037541351011,4037541388182,45081,82252,37171
4041743160577,4041743200417,4041743238528,39840,77951,38111
4045944800804,4045944840685,4045944879956,39881,79152,39271
4049096005543,4049096045184,4049096082415,39641,76872,37231
4053297475141,4053297575314,4053297615125,100173,139984,39811
4057498886857,4057498932929,4057498970600,46072,83743,37671
4060650028487,4060650065518,4060650102059,37031,73572,36541
4064851336943,4064851373024,4064851413065,36081,76122,40041
4069052673042,4069052711222,4069052751743,38180,78701,40521
4073253847922,4073253899103,4073253939084,51181,91162,39981
4076405064818,4076405102659,4076405141600,37841,76782,38941
4079556168421,4079556206722,4079556245793,38301,77372,39071
4082707457819,4082707495930,4082707536661,38111,78842,40731
4085858767062,4085858805763,4085858842834,38701,75772,37071
4089009896824,4089009934545,4089009974416,37721,77592,39871
4092161036560,4092161073771,4092161112222,37211,75662,38451
4096362288011,4096362325042,4096362501716,37031,213705,176674
4099513508219,4099513544210,4099513579081,35991,70862,34871
4103714747221,4103714785032,4103714821843,37811,74622,36811
4106865891685,4106865929826,4106865963277,38141,71592,33451
4111067049491,4111067085352,4111067119633,35861,70142,34281
4114218071340,4114218111521,4114218150192,40181,78852,38671
4117369371891,4117369419363,4117369455243,47472,83352,35880
4120520459063,4120520520465,4120520563356,61402,104293,42891
4124721699623,4124721737454,4124721774345,37831,74722,36891
4128922932505,4128922969366,4128923006637,36861,74132,37271
4132074053914,4132074092285,4132074131076,38371,77162,38791
4135225124176,4135225162127,4135225199208,37951,75032,37081
4138376267589,4138376304820,4138376341261,37231,73672,36441
4142577571900,4142577608481,4142577644882,36581,72982,36401
4145728728840,4145728767991,4145728803972,39151,75132,35981
4148879851257,4148879894878,4148879935639,43621,84382,40761
4152031131716,4152031171637,4152031209678,39921,77962,38041
4155182383109,4155182421059,4155182457490,37950,74381,36431
4159383783299,4159383891389,4159383928259,108090,144960,36870
4162534940657,4162535008837,4162535045117,68180,104460,36280
4166736396711,4166736435743,4166736473655,39032,76944,37912
4170937858418,4170937898270,4170937934282,39852,75864,36012
4174089134549,4174089173681,4174089208162,39132,73613,34481
4178290545473,4178290584925,4178290622736,39452,77263,37811
4182491762107,4182491803348,4182491842169,41241,80062,38821
4186692986380,4186693029982,4186693069033,43602,82653,39051
4190894309303,4190894455697,4190894497088,146394,187785,41391
4195096240883,4195096282324,4195096324205,41441,83322,41881
4199297426280,4199297466621,4199297506332,40341,80052,39711
4203498631029,4203498669860,4203498709441,38831,78412,39581
4207699880953,4207699919054,4207699957565,38101,76612,38511
4211901184302,4211901225763,4211901267624,41461,83322,41861
4215052189209,4215052226960,4215052264431,37751,75222,37471
4218203193468,4218203231049,4218203268270,37581,74802,37221
4221354232864,4221354273645,4221354312336,40781,79472,38691
4225555819646,4225555860257,4225555898458,40611,78812,38201
4228706835772,4228706876733,4228706916534,40961,80762,39801
4232908291956,4232908451931,4232908493722,159975,201766,41791
4236059546146,4236059584307,4236059622008,38161,75862,37701
4240260887290,4240260925121,4240260961362,37831,74072,36241
4244462119154,4244462158375,4244462197516,39221,78362,39141
4247613125844,4247613163615,4247613206846,37771,81002,43231
4251814445873,4251814483914,4251814521845,38041,75972,37931
4254965624255,4254965663806,4254965702887,39551,78632,39081
4259167090743,4259167127384,4259167165375,36641,74632,37991
4263368346595,4263368457538,4263368504459,110943,157864,46921
4267569747277,4267569835379,4267569938001,88102,190724,102622
4271771065029,4271771101780,4271771134781,36751,69752,33001
4275972245874,4275972282675,4275972314386,36801,68512,31711
