tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
11039345968558,11039613626991,11039616579749,267658433,270611191,2952758
11041106116814,11041329785492,11041330254978,223668678,224138164,469486
11043120339956,11043350382111,11043350836367,230042155,230496411,454256
11044992490637,11045268574639,11045269071276,276084002,276580639,496637
11046823627861,11047086237526,11047086753603,262609665,263125742,516077
11048543773706,11048801802739,11048802162064,258029033,258388358,359325
11049638916123,11049913090177,11049913699906,274174054,274783783,609729
11052561060485,11052837637314,11052838140342,276576829,277079857,503028
11055455179602,11055662314983,11055662734289,207135381,207554687,419306
11056566311296,11056771896215,11056772415133,205584919,206103837,518918
11058748439704,11058990372809,11058990857496,241933105,242417792,484687
11060115566506,11060301253889,11060301583983,185687383,186017477,330094
11061389689867,11061612100362,11061612406366,222410495,222716499,306004
11063191820204,11063427490519,11063427845344,235670315,236025140,354825
11064363951736,11064639135927,11064639548953,275184191,275597217,413026
11066416083872,11066657112051,11066657526166,241028179,241442294,414115
11067721245610,11067969724814,11067970262501,248479204,249016891,537687
11069175395792,11069383747029,11069384200715,208351237,208804923,453686
11070893544872,11071098768560,11071099170667,205223688,205625795,402107
11072350682668,11072613742264,11072614210972,263059596,263528304,468708
11074924813811,11075132970858,11075133278913,208157047,208465102,308055
11076991959025,11077250415114,11077250751120,258456089,258792095,336006
11079427086921,11079671482771,11079671795316,244395850,244708395,312545
11080483215319,11080680181699,11080680493655,196966380,197278336,311956
11083424331239,11083706557401,11083706873486,282226162,282542247,316085
11085440452896,11085623160095,11085623455730,182707199,183002834,295635
11088128570853,11088346005235,11088346402201,217434382,217831348,396966
11090111704784,11090362673171,11090362973085,250968387,251268301,299914
11092514831292,11092782613450,11092783000136,267782158,268168844,386686
11095222952656,11095405434035,11095405693778,182481379,182741122,259743
11096958068415,11097220872119,11097221174073,262803704,263105658,301954
11098860177817,11099137184380,11099137537416,277006563,277359599,353036
11101087304508,11101356163895,11101356567561,268859387,269263053,403666
11103987426847,11104180205742,11104180546018,192778895,193119171,340276
11106314552945,11106500295457,11106500640593,185742512,186087648,345136
11108457676795,11108721361192,11108721724888,263684397,264048093,363696
11110820853267,11111042329730,11111042670205,221476463,221816938,340475
11113273996124,11113463365813,11113463752099,189369689,189755975,386286
11115182130667,11115380615000,11115381096367,198484333,198965700,481367
11117161333066,11117398679568,11117398989903,237346502,237656837,310335
11118542459476,11118811887594,11118812258529,269428118,269799053,370935
11120390611658,11120627824821,11120628098375,237213163,237486717,273554
11123365749591,11123553211616,11123553564331,187462025,187814740,352715
11125920876956,11126175200820,11126175558865,254323864,254681909,358045
11127978001641,11128192384424,11128192648209,214382783,214646568,263785
11129351124687,11129605024759,11129605291574,253900072,254166887,266815
11131047267978,11131319419620,11131319693215,272151642,272425237,273595
11132128393397,11132327996079,11132328363056,199602682,199969659,366977
11134288510137,11134546537548,11134547042648,258027411,258532511,505100
11137061631914,11137268907358,11137269253006,207275444,207621092,345648
11138436766436,11138680418364,11138680656550,243651928,243890114,238186
11140279899615,11140495721644,11140496077412,215822029,216177797,355768
11141899025496,11142108884202,11142109153538,209858706,210128042,269336
11144515152971,11144730133742,11144730378716,214980771,215225745,244974
11146966281461,11147149851345,11147150126799,183569884,183845338,275454
11148846409371,11149066771869,11149067028023,220362498,220618652,256154
11149968532068,11150175794828,11150176058123,207262760,207526055,263295
11151311656136,11151587286671,11151587592646,275630535,275936510,305975
11152737780833,11152998954682,11152999216476,261173849,261435643,261794
11155540911624,11155821754842,11155822069007,280843218,281157383,314165
11158293031585,11158543899114,11158544187259,250867529,251155674,288145
11159397151325,11159652966914,11159653516853,255815589,256365528,549939
11161500269974,11161770335100,11161770774922,270065126,270504948,439822
11162702389812,11162980565409,11162980902464,278175597,278512652,337055
11165610505992,11165803998326,11165804367482,193492334,193861490,369156
11168222631543,11168426789974,11168427030428,204158431,204398885,240454
11169487754346,11169737677576,11169737911920,249923230,250157574,234344
11171569904027,11171754332062,11171754565995,184428035,184661968,233933
11173564032142,11173770873805,11173771209900,206841663,207177758,336095
11175906160083,11176089875334,11176090207479,183715251,184047396,332145
