tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
15186950049103,15187577476600,15187581700902,627427497,631651799,4224302
15188141142857,15188327747662,15188328006918,186604805,186864061,259256
15189310201576,15190128292364,15190128548089,818090788,818346513,255725
15190984261934,15191178734761,15191179181030,194472827,194919096,446269
15193032340989,15193279295788,15193279523973,246954799,247182984,228185
15194296395727,15195379851166,15195380270925,1083455439,1083875198,419759
15196734446202,15197480661458,15197481096517,746215256,746650315,435059
15197917564176,15198531218212,15198531582050,613654036,614017874,363838
15199136615797,15199581304615,15199581702554,444688818,445086757,397939
15200277652643,15200631780589,15200632236249,354127946,354583606,455660
15202597687424,15203782429175,15203782768632,1184741751,1185081208,339457
15204029723741,15204832782584,15204833231814,803058843,803508073,449230
15205654767262,15205883076006,15205883368292,228308744,228601030,292286
15208282823336,15209033836902,15209034220220,751013566,751396884,383318
15210535876738,15211134391734,15211134733302,598514996,598856564,341568
15213040927003,15213235021353,15213235453882,194094350,194526879,432529
15214300963551,15215335763360,15215336119067,1034799809,1035155516,355707
15215823004224,15216385948120,15216386317598,562943896,563313374,369478
15217726069447,15218486655969,15218486950856,760586522,760881409,294887
15219427123099,15220587124700,15220587556839,1160001601,1160433740,432139
15221088169346,15221637364611,15221637677828,549195265,549508482,313217
15223093228454,15223737913586,15223738277484,644685132,645049030,363898
15225978270735,15226888619627,15226889016655,910348892,910745920,397028
15227557318293,15227939076367,15227939397454,381758074,382079161,321087
15230374358014,15231089749185,15231090136553,715391171,715778539,387368
15231765406780,15232140133505,15232140408680,374726725,375001900,275175
15234631450745,15235290939925,15235291187510,659489180,659736765,247585
15236471496840,15237391518141,15237391784497,920021301,920287657,266356
15239149545263,15239491971936,15239492257932,342426673,342712669,285996
15241700592025,15242642749756,15242642973341,942157731,942381316,223585
15243779631793,15244743287044,15244743557530,963655251,963925737,270486
15245097664053,15245793630253,15245794018232,695966200,696354179,387979
15246476706597,15246844055360,15246844454009,367348763,367747412,398649
15248354751729,15248944755751,15248945008966,590004022,590257237,253215
15251118793652,15252095303523,15252095554529,976509871,976760877,251006
15252340839498,15253145647656,15253145921742,804808158,805082244,274086
15253857882993,15254195942317,15254196357426,338059324,338474433,415109
15255627928498,15256296518187,15256296797053,668589689,668868555,278866
15257196967532,15258397014532,15258397388470,1200047000,1200420938,373938
15258635996930,15259447266703,15259447461147,811269773,811464217,194444
15260129038496,15260497605903,15260497859867,368567407,368821371,253964
15262683076726,15263648333771,15263648620515,965257045,965543789,286744
15264862116863,15265748767941,15265749078326,886651078,886961463,310385
15267288171972,15267849374468,15267849662494,561202496,561490522,288026
15269335211692,15269949932969,15269950328748,614721277,615117056,395779
15272078259315,15273100572321,15273100751595,1022313006,1022492280,179274
15273297300666,15274150875921,15274151061385,853575255,853760719,185464
15274666345394,15275201243821,15275201554338,534898427,535208944,310517
15276888384605,15277301695068,15277301933293,413310463,413548688,238225
15279795499444,15280452431694,15280452622358,656932250,657122914,190664
15281811538761,15282552915068,15282553055621,741376307,741516860,140553
15283391605673,15283603441742,15283603698817,211836069,212093144,257075
15284730654514,15285703813873,15285704096578,973159359,973442064,282705
15286508689653,15286754258637,15286754490121,245568984,245800468,231484
15288504724021,15288854810820,15288855016524,350086799,350292503,205704
15290728775357,15290955221982,15290955394895,226446625,226619538,172913
15292141815444,15293055626145,15293055916341,913810701,914100897,290196
15294846849869,15295156157187,15295156383662,309307318,309533793,226475
15297802894467,15298306724172,15298306994517,503829705,504100050,270345
15298815938791,15299357046112,15299357400099,541107321,541461308,353987
15299825980471,15300407486712,15300407923131,581506241,581942660,436419
15301625023700,15302507943222,15302508293779,882919522,883270079,350557
15303218062775,15303558331977,15303558589572,340269202,340526797,257595
15304588103660,15305658839648,15305659130774,1070735988,1071027114,291126
15306975141750,15307759388244,15307759623539,784246494,784481789,235295
15308973184304,15309859835299,15309860153816,886650995,886969512,318517
15311601222944,15311960345425,15311960564259,359122481,359341315,218834
15314471264213,15315110978822,15315111186016,639714609,639921803,207194
15316812302835,15317211417743,15317211658658,399114908,399355823,240915
15318282333493,15319311906287,15319312317916,1029572794,1029984423,411629
15320961360125,15321412306361,15321412465934,450946236,451105809,159573
15323943424473,15324563013739,15324563281735,619589266,619857262,267996
15326075525827,15326663410105,15326663638860,587884278,588113033,228755
15328666565584,15329814004514,15329814279130,1147438930,1147713546,274616
15329904605325,15330864315916,15330864542751,959710591,959937426,226835
15331150663932,15331914614192,15331914848927,763950260,764184995,234735
15332168703201,15332965031025,15332965198538,796327824,796495337,167513
15333584744087,15334015292099,15334015526284,430548012,430782197,234185
15336098796047,15336115717490,15336115882493,16921443,17086446,165003
-1,15337166151364,15337166393639,15337166151365,15337166393640,242275
15338967817756,15339266710949,15339266938444,298893193,299120688,227495
15340112858312,15340316906403,15340317120588,204048091,204262276,214185
15341921927838,15342417358910,15342417539414,495431072,495611576,180504
15343268962330,15343467743337,15343467937701,198781007,198975371,194364
15345724002089,15346618320412,15346618513696,894318323,894511607,193284
15348221030819,15348718704081,15348719050778,497673262,498019959,346697
15349726062316,15350819178882,15350819380396,1093116566,1093318080,201514
15351588091642,15351869478028,15351869690072,281386386,281598430,212044
15352827125072,15353969936259,15353970308267,1142811187,1143183195,372008
15354408149948,15355020312801,15355020613487,612162853,612463539,300686
15356544189077,15357120699691,15357120949216,576510614,576760139,249525
15358037222453,15359221168119,15359221401214,1183945666,1184178761,233095
15360618255463,15361321674476,15361321806019,703419013,703550556,131543
15362760289646,15363422099849,15363422227471,661810203,661937825,127622
15365242320896,15365522545281,15365522749375,280224385,280428479,204094
15367734350744,15368673095346,15368673299301,938744602,938948557,203955
15369264379825,15369723384664,15369723589439,459004839,459209614,204775
15371814414932,15372874003327,15372874168111,1059588395,1059753179,164784
15373653449020,15373924303238,15373924509843,270854218,271060823,206605
15375541487982,15376024760692,15376024974547,483272710,483486565,213855
