tEvent,tPerception,tReaction,eventToPerception,eventToReaction,perceptionToReaction
3095163186364,3095163234294,3095360384476,47930,197198112,197150182
3096879943383,3096879969324,3097072119718,25941,192176335,192150394
3098697684727,3098697716527,3098879699018,31800,182014291,181982491
3100516329979,3100516358999,3100688385449,29020,172055470,172026450
3103242178903,3103242213664,3103404131835,34761,161952932,161918171
3106069026880,3106069059031,3106220730319,32151,151703439,151671288
3107886021534,3107886056155,3108027792667,34621,141771133,141736512
3108898134236,3108898165327,3109029660896,31091,131526660,131495569
3110614014890,3110614049832,3110735543407,34942,121528517,121493575
3111925330531,3111925358302,3112046852279,27771,121521748,121493977
3113338892005,3113338926296,3113450202270,34291,111310265,111275974
3114549338064,3114549369075,3114660766065,31011,111428001,111396990
3117473975759,3117474064612,3117575732087,88853,101756328,101667475
3118785971980,3118786002481,3118977878209,30501,191906229,191875728
3121307342690,3121307377911,3121499267150,35221,191924460,191889239
3123727552839,3123727582080,3123919564356,29241,192011517,191982276
3124836790559,3124836824101,3125028820438,33542,192029879,191996337
3126651669739,3126651757492,3126843752410,87753,192082671,191994918
3129072312402,3129072338463,3129264592954,26061,192280552,192254491
3131996535887,3131996566188,3132188616814,30301,192080927,192050626
3134417577033,3134417605864,3134609440274,28831,191863241,191834410
3136637887513,3136637922034,3136830233729,34521,192346216,192311695
3138962316965,3138962350786,3139144356346,33821,182039381,182005560
3140275183090,3140275214371,3140447431448,31281,172248358,172217077
3142597666695,3142597699606,3142759288335,32911,161621640,161588729
3144312605652,3144312637273,3144465521592,31621,152915940,152884319
3146534937221,3146534968142,3146676484148,30921,141546927,141516006
3148451178907,3148451203858,3148582677843,24951,131498936,131473985
3149862738510,3149862772031,3149994275886,33521,131537376,131503855
3152485307809,3152485333570,3152606737837,25761,121430028,121404267
3154402803662,3154402825693,3154514248875,22031,111445213,111423182
3156421852213,3156421869084,3156523074454,16871,101222241,101205370
3157430992545,3157431017546,3157622916876,25001,191924331,191899330
3158641158486,3158641174126,3158833062426,15640,191903940,191888300
3160759393218,3160759414028,3160941419701,20810,182026483,182005673
3163584227030,3163584242311,3163755901950,15281,171674920,171659639
3165500227360,3165500268821,3165661764153,41461,161536793,161495332
3167214059673,3167214098684,3167365850001,39011,151790328,151751317
3169131125641,3169131143551,3169272609511,17910,141483870,141465960
3171653919501,3171653937722,3171785424306,18221,131504805,131486584
3173470776904,3173470794434,3173602493330,17530,131716426,131698896
3176294237792,3176294255783,3176425833156,17991,131595364,131577373
3178722719769,3178722741120,3178844349667,21351,121629898,121608547
3180740126626,3180740150447,3180861518190,23821,121391564,121367743
3183261406798,3183261424398,3183382803320,17600,121396522,121378922
3185177351024,3185177361114,3185298628326,10090,121277302,121267212
3187396082808,3187396098598,3187517516401,15790,121433593,121417803
3188707193945,3188707202325,3188828560722,8380,121366777,121358397
3190925163885,3190925176155,3191036340068,12270,111176183,111163913
3192739540293,3192739550964,3192850829632,10671,111289339,111278668
3194856949522,3194856962402,3194958095128,12880,101145606,101132726
3197176293916,3197176305757,3197368227721,11841,191933805,191921964
3198990976265,3198990992586,3199183083791,16321,192107526,192091205
3200906665685,3200906675145,3201098632763,9460,191967078,191957618
3202519874534,3202519889625,3202711901024,15091,192026490,192011399
3204738369581,3204738388492,3204920299851,18911,181930270,181911359
3206250519563,3206250532323,3206432216503,12760,181696940,181684180
3207460339732,3207460348722,3207632025855,8990,171686123,171677133
3209274761553,3209274772104,3209436347839,10551,161586286,161575735
3211391584659,3211391594499,3211543065098,9840,151480439,151470599
3212601778498,3212601792688,3212753355029,14190,151576531,151562341
3215525851170,3215525860390,3215667391236,9220,141540066,141530846
3218248515893,3218248528843,3218390051581,12950,141535688,141522738
3220063685208,3220063694359,3220205142999,9151,141457791,141448640
3221676955625,3221676971066,3221808334241,15441,131378616,131363175
3224096394836,3224096405176,3224217646255,10340,121251419,121241079
3226314478856,3226314490636,3226425667996,11780,111189140,111177360
3228028448971,3228028458681,3228132122670,9710,103673699,103663989
3230551169397,3230551183387,3230652352421,13990,101183024,101169034
3232266769924,3232266779034,3232458760472,9110,191990548,191981438
3234383872137,3234383884648,3234575644172,12511,191772035,191759524
3235895731217,3235895739817,3236077407645,8600,181676428,181667828
3236903751895,3236903835698,3237075485590,83803,171733695,171649892
3238113333762,3238113342862,3238284956291,9100,171622529,171613429
3240733620090,3240733629480,3240905173025,9390,171552935,171543545
3242649298091,3242649308071,3242821089311,9980,171791220,171781240
3244868569916,3244868580577,3245030255321,10661,161685405,161674744
3247491763915,3247491771515,3247653991794,7600,162227879,162220279
3248704128324,3248704139294,3248855690093,10970,151561769,151550799
3250016622182,3250016632282,3250158424956,10100,141802774,141792674
3251129818278,3251129831248,3251261833301,12970,132015023,132002053
3253151505467,3253151515987,3253273377522,10520,121872055,121861535
3255574600277,3255574610647,3255685965560,10370,111365283,111354913
3256886048839,3256886059309,3256987468716,10470,101419877,101409407
3259307446859,3259307457959,3259499603948,11100,192157089,192145989
3262231969881,3262231978252,3262424202302,8371,192232421,192224050
3264954710968,3264954722338,3265146861416,11370,192150448,192139078
3267478331125,3267478366036,3267670867265,34911,192536140,192501229
3268690292963,3268690303453,3268872288221,10490,181995258,181984768
3270710764733,3270710775373,3270883125643,10640,172360910,172350270
3272933087015,3272933098095,3273095146110,11080,162059095,162048015
3273943776357,3273943789817,3274095692081,13460,151915724,151902264
3276468979140,3276468990730,3276610756119,11590,141776979,141765389
3277580429548,3277580441788,3277712386709,12240,131957161,131944921
3278995954089,3278995966599,3279117608989,12510,121654900,121642390
3280816066169,3280816084640,3280927709947,18471,111643778,111625307
3282129511443,3282129523934,3282230779706,12491,101268263,101255772
3285057711806,3285057721797,3285249597560,9991,191885754,191875763
3287983990212,3287984000643,3288166062617,10431,182072405,182061974
3289702384892,3289702394083,3289874023635,9191,171638743,171629552
