Java Processes Log
iteration: 1 ; CPU: 1.38% ; MEM: 518.89 MB
iteration: 2 ; CPU: 1.38% ; MEM: 518.89 MB
iteration: 3 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 4 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 5 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 6 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 7 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 8 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 9 ; CPU: 1.36% ; MEM: 518.89 MB
iteration: 10 ; CPU: 1.36% ; MEM: 551.02 MB
iteration: 11 ; CPU: 1.36% ; MEM: 562.77 MB
iteration: 12 ; CPU: 8.03% ; MEM: 572.89 MB
iteration: 13 ; CPU: 12.86% ; MEM: 591.16 MB
iteration: 14 ; CPU: 17.03% ; MEM: 596.01 MB
iteration: 15 ; CPU: 12.86% ; MEM: 609.90 MB
iteration: 16 ; CPU: 13.53% ; MEM: 611.84 MB
iteration: 17 ; CPU: 13.61% ; MEM: 612.15 MB
iteration: 18 ; CPU: 9.60% ; MEM: 612.25 MB
iteration: 19 ; CPU: 9.60% ; MEM: 612.25 MB
iteration: 20 ; CPU: 9.60% ; MEM: 612.25 MB
iteration: 21 ; CPU: 9.65% ; MEM: 612.25 MB
iteration: 22 ; CPU: 7.58% ; MEM: 612.42 MB
iteration: 23 ; CPU: 7.58% ; MEM: 612.42 MB
iteration: 24 ; CPU: 7.58% ; MEM: 612.42 MB
iteration: 25 ; CPU: 7.66% ; MEM: 612.56 MB
iteration: 26 ; CPU: 6.41% ; MEM: 649.73 MB
iteration: 27 ; CPU: 6.41% ; MEM: 656.83 MB
iteration: 28 ; CPU: 6.41% ; MEM: 666.24 MB
iteration: 29 ; CPU: 13.90% ; MEM: 671.67 MB
iteration: 30 ; CPU: 16.73% ; MEM: 678.77 MB
iteration: 31 ; CPU: 18.60% ; MEM: 680.15 MB
iteration: 32 ; CPU: 23.60% ; MEM: 686.54 MB
iteration: 33 ; CPU: 15.00% ; MEM: 689.82 MB
iteration: 34 ; CPU: 15.66% ; MEM: 695.18 MB
iteration: 35 ; CPU: 16.26% ; MEM: 695.81 MB
iteration: 36 ; CPU: 12.73% ; MEM: 698.71 MB
iteration: 37 ; CPU: 13.83% ; MEM: 702.67 MB
iteration: 38 ; CPU: 14.16% ; MEM: 703.45 MB
iteration: 39 ; CPU: 14.66% ; MEM: 710.75 MB
iteration: 40 ; CPU: 12.83% ; MEM: 714.47 MB
iteration: 41 ; CPU: 13.43% ; MEM: 717.35 MB
iteration: 42 ; CPU: 13.65% ; MEM: 717.72 MB
iteration: 43 ; CPU: 14.68% ; MEM: 730.89 MB
iteration: 44 ; CPU: 13.15% ; MEM: 715.54 MB
iteration: 45 ; CPU: 13.75% ; MEM: 721.74 MB
iteration: 46 ; CPU: 13.86% ; MEM: 724.25 MB
iteration: 47 ; CPU: 14.26% ; MEM: 725.06 MB
iteration: 48 ; CPU: 12.45% ; MEM: 727.87 MB
iteration: 49 ; CPU: 12.63% ; MEM: 730.49 MB
iteration: 50 ; CPU: 12.86% ; MEM: 735.47 MB
iteration: 51 ; CPU: 13.03% ; MEM: 735.85 MB
iteration: 52 ; CPU: 11.80% ; MEM: 740.64 MB
iteration: 53 ; CPU: 12.13% ; MEM: 745.41 MB
iteration: 54 ; CPU: 13.10% ; MEM: 751.21 MB
iteration: 55 ; CPU: 11.98% ; MEM: 751.38 MB
iteration: 56 ; CPU: 12.00% ; MEM: 751.43 MB
iteration: 57 ; CPU: 12.08% ; MEM: 751.73 MB
iteration: 58 ; CPU: 13.00% ; MEM: 755.53 MB
iteration: 59 ; CPU: 13.01% ; MEM: 761.60 MB
iteration: 60 ; CPU: 13.91% ; MEM: 771.96 MB
iteration: 61 ; CPU: 14.16% ; MEM: 772.44 MB
iteration: 62 ; CPU: 13.73% ; MEM: 770.07 MB
iteration: 63 ; CPU: 14.63% ; MEM: 772.84 MB
iteration: 64 ; CPU: 14.40% ; MEM: 781.85 MB
iteration: 65 ; CPU: 15.13% ; MEM: 781.98 MB
iteration: 66 ; CPU: 15.41% ; MEM: 782.14 MB
iteration: 67 ; CPU: 14.38% ; MEM: 782.57 MB
iteration: 68 ; CPU: 14.53% ; MEM: 782.64 MB
iteration: 69 ; CPU: 14.85% ; MEM: 784.71 MB
iteration: 70 ; CPU: 14.03% ; MEM: 785.64 MB
iteration: 71 ; CPU: 14.20% ; MEM: 785.72 MB
iteration: 72 ; CPU: 14.46% ; MEM: 785.89 MB
iteration: 73 ; CPU: 14.53% ; MEM: 785.89 MB
iteration: 74 ; CPU: 13.66% ; MEM: 785.89 MB
iteration: 75 ; CPU: 13.81% ; MEM: 785.89 MB
iteration: 76 ; CPU: 14.10% ; MEM: 786.91 MB
iteration: 77 ; CPU: 14.11% ; MEM: 786.98 MB
iteration: 78 ; CPU: 13.31% ; MEM: 782.98 MB
iteration: 79 ; CPU: 13.35% ; MEM: 782.98 MB
iteration: 80 ; CPU: 13.36% ; MEM: 782.98 MB
iteration: 81 ; CPU: 13.38% ; MEM: 782.98 MB
iteration: 82 ; CPU: 12.66% ; MEM: 783.06 MB
iteration: 83 ; CPU: 12.78% ; MEM: 783.06 MB
iteration: 84 ; CPU: 12.80% ; MEM: 783.06 MB
iteration: 85 ; CPU: 12.83% ; MEM: 783.06 MB
iteration: 86 ; CPU: 12.21% ; MEM: 783.22 MB
iteration: 87 ; CPU: 12.23% ; MEM: 783.22 MB
iteration: 88 ; CPU: 12.25% ; MEM: 783.22 MB
iteration: 89 ; CPU: 12.28% ; MEM: 783.22 MB
iteration: 90 ; CPU: 11.71% ; MEM: 783.22 MB
iteration: 91 ; CPU: 11.75% ; MEM: 783.22 MB
iteration: 92 ; CPU: 11.78% ; MEM: 783.22 MB
iteration: 93 ; CPU: 11.80% ; MEM: 783.30 MB
iteration: 94 ; CPU: 11.28% ; MEM: 783.30 MB
iteration: 95 ; CPU: 11.30% ; MEM: 783.30 MB
iteration: 96 ; CPU: 11.31% ; MEM: 783.30 MB
iteration: 97 ; CPU: 11.33% ; MEM: 783.30 MB
iteration: 98 ; CPU: 11.35% ; MEM: 783.30 MB
iteration: 99 ; CPU: 10.88% ; MEM: 783.30 MB
iteration: 100 ; CPU: 10.91% ; MEM: 770.81 MB
iteration: 101 ; CPU: 10.93% ; MEM: 770.81 MB
iteration: 102 ; CPU: 10.95% ; MEM: 770.81 MB
iteration: 103 ; CPU: 10.53% ; MEM: 770.81 MB
iteration: 104 ; CPU: 10.55% ; MEM: 770.81 MB
iteration: 105 ; CPU: 10.55% ; MEM: 770.81 MB
iteration: 106 ; CPU: 10.58% ; MEM: 770.81 MB
iteration: 107 ; CPU: 10.18% ; MEM: 770.81 MB
iteration: 108 ; CPU: 10.21% ; MEM: 770.87 MB
iteration: 109 ; CPU: 10.23% ; MEM: 770.87 MB
iteration: 110 ; CPU: 10.25% ; MEM: 770.87 MB
iteration: 111 ; CPU: 9.88% ; MEM: 770.87 MB
iteration: 112 ; CPU: 9.90% ; MEM: 770.87 MB
iteration: 113 ; CPU: 9.91% ; MEM: 770.87 MB
iteration: 114 ; CPU: 9.93% ; MEM: 770.87 MB
iteration: 115 ; CPU: 9.95% ; MEM: 770.87 MB
iteration: 116 ; CPU: 9.61% ; MEM: 770.87 MB
iteration: 117 ; CPU: 9.70% ; MEM: 774.03 MB
iteration: 118 ; CPU: 9.71% ; MEM: 774.03 MB
iteration: 119 ; CPU: 9.73% ; MEM: 774.03 MB
iteration: 120 ; CPU: 9.73% ; MEM: 774.03 MB
iteration: 121 ; CPU: 9.75% ; MEM: 774.03 MB
iteration: 122 ; CPU: 9.43% ; MEM: 774.03 MB
iteration: 123 ; CPU: 9.46% ; MEM: 774.03 MB
iteration: 124 ; CPU: 9.48% ; MEM: 774.03 MB
iteration: 125 ; CPU: 9.16% ; MEM: 774.03 MB
iteration: 126 ; CPU: 9.21% ; MEM: 774.03 MB
iteration: 127 ; CPU: 9.23% ; MEM: 774.03 MB
iteration: 128 ; CPU: 9.25% ; MEM: 774.03 MB
iteration: 129 ; CPU: 9.28% ; MEM: 774.03 MB
iteration: 130 ; CPU: 9.00% ; MEM: 774.03 MB
iteration: 131 ; CPU: 9.01% ; MEM: 774.03 MB
iteration: 132 ; CPU: 9.01% ; MEM: 774.12 MB
iteration: 133 ; CPU: 9.03% ; MEM: 774.12 MB
