ROS Processes Log
iteration: 1 ; CPU: 65.76% ; MEM: 1702.58 MB
iteration: 2 ; CPU: 65.01% ; MEM: 1702.58 MB
iteration: 3 ; CPU: 65.26% ; MEM: 1702.58 MB
iteration: 4 ; CPU: 65.48% ; MEM: 1702.58 MB
iteration: 5 ; CPU: 65.55% ; MEM: 1702.58 MB
iteration: 6 ; CPU: 65.93% ; MEM: 1702.58 MB
iteration: 7 ; CPU: 65.25% ; MEM: 1702.59 MB
iteration: 8 ; CPU: 65.45% ; MEM: 1702.59 MB
iteration: 9 ; CPU: 65.46% ; MEM: 1702.59 MB
iteration: 10 ; CPU: 65.88% ; MEM: 1702.59 MB
iteration: 11 ; CPU: 65.23% ; MEM: 1703.68 MB
iteration: 12 ; CPU: 65.51% ; MEM: 1703.68 MB
iteration: 13 ; CPU: 65.16% ; MEM: 1703.68 MB
iteration: 14 ; CPU: 65.23% ; MEM: 1703.68 MB
iteration: 15 ; CPU: 65.43% ; MEM: 1703.68 MB
iteration: 16 ; CPU: 65.68% ; MEM: 1703.68 MB
iteration: 17 ; CPU: 64.93% ; MEM: 1703.68 MB
iteration: 18 ; CPU: 65.16% ; MEM: 1703.68 MB
iteration: 19 ; CPU: 65.43% ; MEM: 1703.68 MB
iteration: 20 ; CPU: 65.68% ; MEM: 1703.68 MB
iteration: 21 ; CPU: 65.15% ; MEM: 1703.68 MB
iteration: 22 ; CPU: 65.20% ; MEM: 1703.68 MB
iteration: 23 ; CPU: 65.26% ; MEM: 1703.68 MB
iteration: 24 ; CPU: 65.63% ; MEM: 1703.68 MB
iteration: 25 ; CPU: 64.96% ; MEM: 1703.68 MB
iteration: 26 ; CPU: 65.21% ; MEM: 1703.68 MB
iteration: 27 ; CPU: 65.45% ; MEM: 1703.68 MB
iteration: 28 ; CPU: 65.65% ; MEM: 1703.94 MB
iteration: 29 ; CPU: 64.95% ; MEM: 1703.94 MB
iteration: 30 ; CPU: 65.15% ; MEM: 1703.94 MB
iteration: 31 ; CPU: 65.38% ; MEM: 1703.94 MB
iteration: 32 ; CPU: 65.60% ; MEM: 1703.94 MB
iteration: 33 ; CPU: 64.91% ; MEM: 1712.50 MB
iteration: 34 ; CPU: 65.15% ; MEM: 1743.14 MB
iteration: 35 ; CPU: 65.56% ; MEM: 1749.74 MB
iteration: 36 ; CPU: 72.55% ; MEM: 1760.80 MB
iteration: 37 ; CPU: 75.60% ; MEM: 1767.81 MB
iteration: 38 ; CPU: 78.21% ; MEM: 1772.55 MB
iteration: 39 ; CPU: 72.95% ; MEM: 1773.92 MB
iteration: 40 ; CPU: 74.23% ; MEM: 1778.27 MB
iteration: 41 ; CPU: 76.31% ; MEM: 1783.95 MB
iteration: 42 ; CPU: 77.30% ; MEM: 1786.66 MB
iteration: 43 ; CPU: 73.15% ; MEM: 1789.00 MB
iteration: 44 ; CPU: 73.33% ; MEM: 1789.12 MB
iteration: 45 ; CPU: 71.36% ; MEM: 1792.14 MB
iteration: 46 ; CPU: 72.06% ; MEM: 1793.33 MB
iteration: 47 ; CPU: 72.38% ; MEM: 1796.18 MB
iteration: 48 ; CPU: 73.11% ; MEM: 1797.17 MB
iteration: 49 ; CPU: 71.16% ; MEM: 1799.56 MB
