msg_idx	perf_ms	monotonic_ms	time_ns_ms
0	65.00	65.00	65.00
1	24.62	24.62	24.62
2	27.19	27.19	27.19
3	12.97	12.97	12.97
4	58.93	58.93	58.93
5	27.33	27.33	27.33
6	98.66	98.66	98.66
7	9.01	9.01	9.01
8	50.21	50.21	50.21
9	45.95	45.95	45.95
10	65.86	65.86	65.86
11	81.67	81.67	81.67
12	94.11	94.11	94.11
13	44.45	44.45	44.46
14	3.33	3.33	3.33
15	55.64	55.64	55.64
16	77.76	77.76	77.76
17	92.22	92.22	92.22
18	27.67	27.67	27.67
19	76.83	76.83	76.83
20	62.89	62.89	62.89
21	65.12	65.12	65.12
22	19.45	19.45	19.45
23	60.49	60.49	60.49
24	10.11	10.11	10.11
25	57.68	57.68	57.68
26	102.22	102.22	102.22
27	42.46	42.46	42.45
28	102.00	102.00	102.00
29	9.25	9.25	9.25
30	55.85	55.85	55.85
31	81.84	81.84	81.84
32	12.02	12.02	12.02
33	69.54	69.54	69.54
34	16.88	16.88	16.88
35	82.79	82.79	82.79
36	94.87	94.87	94.87
37	62.19	62.19	62.19
38	33.52	33.52	33.52
39	64.34	64.34	64.34
40	67.81	67.81	67.81
41	75.47	75.47	75.47
42	79.02	79.02	79.02
43	8.27	8.27	8.27
44	72.51	72.51	72.51
45	30.96	30.96	30.96
46	95.12	95.12	95.12
47	72.20	72.20	72.20
48	47.93	47.93	47.94
49	33.54	33.54	33.55
50	81.37	81.37	81.37
51	39.98	39.98	39.98
52	101.37	101.37	101.37
53	24.95	24.95	24.95
54	73.80	73.80	73.80
55	35.21	35.21	35.21
56	81.51	81.51	81.51
57	88.20	88.20	88.20
58	26.57	26.57	26.57
59	14.28	14.28	14.28
60	25.49	25.49	25.49
61	44.80	44.80	44.80
62	92.90	92.90	92.90
63	58.57	58.57	58.57
64	44.38	44.38	44.38
65	16.53	16.53	16.53
66	43.90	43.90	43.90
67	35.73	35.73	35.73
68	46.01	46.01	46.01
69	91.15	91.15	91.15
70	75.37	75.37	75.37
71	4.18	4.18	4.18
72	37.56	37.56	37.56
73	81.32	81.33	81.33
74	71.71	71.71	71.71
75	53.68	53.69	53.69
76	49.18	49.18	49.19
77	75.03	75.03	75.03
78	34.76	34.76	34.76
79	94.09	94.09	94.09
80	62.24	62.24	62.24
81	41.24	41.24	41.24
82	14.97	14.97	14.97
83	96.07	96.07	96.07
84	9.73	9.73	9.73
85	4.45	4.45	4.45
86	74.30	74.30	74.30
87	21.21	21.21	21.21
88	78.45	78.45	78.45
89	63.60	63.60	63.60
90	15.18	15.19	15.19
91	33.47	33.48	33.48
92	47.13	47.14	47.14
93	84.03	84.03	84.03
94	4.33	4.33	4.33
95	98.18	98.18	98.18
96	66.31	66.31	66.31
97	88.05	88.05	88.05
98	91.76	91.77	91.77
99	30.16	30.16	30.16
