ROS Processes Log
iteration: 1 ; CPU: 0% ; MEM: 193.05 MB
iteration: 2 ; CPU: 0% ; MEM: 193.05 MB
iteration: 3 ; CPU: 0% ; MEM: 193.05 MB
iteration: 4 ; CPU: 0% ; MEM: 193.05 MB
iteration: 5 ; CPU: 0% ; MEM: 193.05 MB
iteration: 6 ; CPU: 0% ; MEM: 193.05 MB
iteration: 7 ; CPU: 0% ; MEM: 193.05 MB
iteration: 8 ; CPU: 0% ; MEM: 193.05 MB
iteration: 9 ; CPU: 0% ; MEM: 193.05 MB
iteration: 10 ; CPU: 0% ; MEM: 193.05 MB
iteration: 11 ; CPU: 0% ; MEM: 193.05 MB
iteration: 12 ; CPU: 0% ; MEM: 193.05 MB
iteration: 13 ; CPU: 0% ; MEM: 193.05 MB
iteration: 14 ; CPU: 0% ; MEM: 193.05 MB
iteration: 15 ; CPU: 0% ; MEM: 193.05 MB
iteration: 16 ; CPU: 0% ; MEM: 193.05 MB
iteration: 17 ; CPU: 0% ; MEM: 193.05 MB
iteration: 18 ; CPU: 0% ; MEM: 193.05 MB
iteration: 19 ; CPU: 0% ; MEM: 193.05 MB
iteration: 20 ; CPU: 0% ; MEM: 193.05 MB
iteration: 21 ; CPU: 0% ; MEM: 193.05 MB
iteration: 22 ; CPU: 0% ; MEM: 193.05 MB
iteration: 23 ; CPU: 0% ; MEM: 193.05 MB
iteration: 24 ; CPU: 0% ; MEM: 193.05 MB
iteration: 25 ; CPU: 0% ; MEM: 193.05 MB
iteration: 26 ; CPU: 0% ; MEM: 193.05 MB
iteration: 27 ; CPU: 0% ; MEM: 193.05 MB
iteration: 28 ; CPU: 0% ; MEM: 193.05 MB
iteration: 29 ; CPU: 0% ; MEM: 193.05 MB
iteration: 30 ; CPU: 0% ; MEM: 193.05 MB
iteration: 31 ; CPU: 0% ; MEM: 193.05 MB
iteration: 32 ; CPU: 0% ; MEM: 193.05 MB
iteration: 33 ; CPU: 0% ; MEM: 193.05 MB
iteration: 34 ; CPU: 0% ; MEM: 193.05 MB
iteration: 35 ; CPU: 0% ; MEM: 193.05 MB
iteration: 36 ; CPU: 0% ; MEM: 193.05 MB
iteration: 37 ; CPU: 0% ; MEM: 193.05 MB
iteration: 38 ; CPU: 0% ; MEM: 193.05 MB
iteration: 39 ; CPU: 0% ; MEM: 193.05 MB
iteration: 40 ; CPU: 0% ; MEM: 193.05 MB
iteration: 41 ; CPU: 0% ; MEM: 193.05 MB
iteration: 42 ; CPU: 0% ; MEM: 193.05 MB
iteration: 43 ; CPU: 0% ; MEM: 193.05 MB
iteration: 44 ; CPU: 0% ; MEM: 193.05 MB
iteration: 45 ; CPU: 0% ; MEM: 193.05 MB
iteration: 46 ; CPU: 0% ; MEM: 193.05 MB
iteration: 47 ; CPU: 0% ; MEM: 193.05 MB
iteration: 48 ; CPU: 0% ; MEM: 193.05 MB
iteration: 49 ; CPU: 0% ; MEM: 193.05 MB
iteration: 50 ; CPU: 0% ; MEM: 193.05 MB
iteration: 51 ; CPU: 0% ; MEM: 193.05 MB
iteration: 52 ; CPU: 0% ; MEM: 193.05 MB
iteration: 53 ; CPU: 0% ; MEM: 193.05 MB
iteration: 54 ; CPU: 0% ; MEM: 193.05 MB
iteration: 55 ; CPU: 0% ; MEM: 193.05 MB
iteration: 56 ; CPU: 0% ; MEM: 248.61 MB
iteration: 57 ; CPU: 0% ; MEM: 263.55 MB
iteration: 58 ; CPU: 0% ; MEM: 277.87 MB
iteration: 59 ; CPU: 0% ; MEM: 301.13 MB
iteration: 60 ; CPU: 28.33% ; MEM: 301.27 MB
iteration: 61 ; CPU: 34.16% ; MEM: 322.62 MB
iteration: 62 ; CPU: 37.33% ; MEM: 327.00 MB
iteration: 63 ; CPU: 37.33% ; MEM: 327.00 MB
iteration: 64 ; CPU: 37.33% ; MEM: 327.00 MB
iteration: 65 ; CPU: 37.33% ; MEM: 327.00 MB
iteration: 66 ; CPU: 18.66% ; MEM: 327.00 MB
iteration: 67 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 68 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 69 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 70 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 71 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 72 ; CPU: 18.66% ; MEM: 327.16 MB
iteration: 73 ; CPU: 12.33% ; MEM: 327.16 MB
iteration: 74 ; CPU: 12.33% ; MEM: 327.16 MB
iteration: 75 ; CPU: 12.33% ; MEM: 327.16 MB
iteration: 76 ; CPU: 13.00% ; MEM: 333.33 MB
iteration: 77 ; CPU: 13.00% ; MEM: 333.33 MB
iteration: 78 ; CPU: 13.00% ; MEM: 333.33 MB
iteration: 79 ; CPU: 13.00% ; MEM: 333.35 MB
iteration: 80 ; CPU: 9.66% ; MEM: 333.35 MB
iteration: 81 ; CPU: 9.66% ; MEM: 333.35 MB
iteration: 82 ; CPU: 9.66% ; MEM: 333.35 MB
iteration: 83 ; CPU: 9.83% ; MEM: 333.41 MB
iteration: 84 ; CPU: 9.83% ; MEM: 333.46 MB
iteration: 85 ; CPU: 9.83% ; MEM: 333.46 MB
iteration: 86 ; CPU: 9.83% ; MEM: 333.46 MB
iteration: 87 ; CPU: 7.83% ; MEM: 333.46 MB
iteration: 88 ; CPU: 7.83% ; MEM: 333.46 MB
